4,EFD,Call,0.000389746
4,IFD,Call,0.000410119
4,CNFD,Call,0.00039988
4,EFD,Put,6
4,IFD,Put,6
4,CNFD,Put,6
5,EFD,Call,0.000187723
5,IFD,Call,0.00020202
5,CNFD,Call,0.000194811
5,EFD,Put,5
5,IFD,Put,5
5,CNFD,Put,5
6,EFD,Call,0.000516587
6,IFD,Call,0.000541798
6,CNFD,Call,0.000529154
6,EFD,Put,4
6,IFD,Put,4
6,CNFD,Put,4
7,EFD,Call,0.00596284
7,IFD,Call,0.00609993
7,CNFD,Call,0.00603144
7,EFD,Put,3
7,IFD,Put,3
7,CNFD,Put,3
8,EFD,Call,0.0432855
8,IFD,Call,0.0436014
8,CNFD,Call,0.0434438
8,EFD,Put,2
8,IFD,Put,2
8,CNFD,Put,2
9,EFD,Call,0.202092
9,IFD,Call,0.2021
9,CNFD,Call,0.202096
9,EFD,Put,1.05207
9,IFD,Put,1.05169
9,CNFD,Put,1.05188
10,EFD,Call,0.624669
10,IFD,Call,0.623914
10,CNFD,Call,0.624292
10,EFD,Put,0.440889
10,IFD,Put,0.439993
10,CNFD,Put,0.440441
11,EFD,Call,1.34956
11,IFD,Call,1.34931
11,CNFD,Call,1.34944
11,EFD,Put,0.155135
11,IFD,Put,0.154855
11,CNFD,Put,0.154994
12,EFD,Call,2.2461
12,IFD,Call,2.2462
12,CNFD,Call,2.24615
12,EFD,Put,0.0484957
12,IFD,Put,0.0485969
12,CNFD,Put,0.0485463
13,EFD,Call,3.21251
13,IFD,Call,3.21264
13,CNFD,Call,3.21257
13,EFD,Put,0.0140153
13,IFD,Put,0.0141612
13,CNFD,Put,0.0140884
14,EFD,Call,4.20257
14,IFD,Call,4.20265
14,CNFD,Call,4.20261
14,EFD,Put,0.00384577
14,IFD,Put,0.00393623
14,CNFD,Put,0.00389111
15,EFD,Call,5.19981
15,IFD,Call,5.19983
15,CNFD,Call,5.19982
15,EFD,Put,0.00102013
15,IFD,Put,0.00106266
15,CNFD,Put,0.00104141
16,EFD,Call,6.19907
16,IFD,Call,6.19907
16,CNFD,Call,6.19907
16,EFD,Put,0.000264851
16,IFD,Put,0.000282107
16,CNFD,Put,0.000273458
